user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
血热挟湿证的临床表现有哪些？,"['2.1.3\r\n    血热挟湿证        \r\n    因热邪深入血分，或血分蕴热，兼挟湿浊所致。临床以斑疹显露，疹色暗红或紫黑，或皮肤细疹、瘙痒、滋水，舌质红绛，舌苔黄腻，脉濡数，或伴见身热夜甚，渴不多饮，神识不清，头胀，身重，胸脘痞闷等为特征的证候。\r\n\r\n4.2.2.2.1.4\r\n    血热瘀滞证          \r\n    血热瘀结证\r\n    因热邪深入血分，气滞血瘀所致。', '4.2.2.2.1.3\r\n    血热挟湿证        \r\n    因热邪深入血分，或血分蕴热，兼挟湿浊所致。临床以斑疹显露，疹色暗红或紫黑，或皮肤细疹、瘙痒、滋水，舌质红绛，舌苔黄腻，脉濡数，或伴见身热夜甚，渴不多饮，神识不清，头胀，身重，胸脘痞闷等为特征的证候。\r\n\r\n4.2.2.2.1.', '9.4.2\r\n    血热动血证    -   \r\n    因温热病邪深入血分，迫血妄行所致。临床以吐血或鼻衄、齿衄、便血、尿血，斑疹密布，色紫或黑，舌质深绛，舌苔少或无，脉细数，指纹紫暗或黑，伴见身热，口渴或渴不欲饮，心烦、不寐等为特征的证候。\r\n\r\n9.4.3\r\n    血热动风证    -   \r\n    因温热疫毒等邪深入血分，耗损阴血，筋脉失养，虚风内动所致。', '9.4.2\r\n    血热动血证    -   \r\n    因温热病邪深入血分，迫血妄行所致。临床以吐血或鼻衄、齿衄、便血、尿血，斑疹密布，色紫或黑，舌质深绛，舌苔少或无，脉细数，指纹紫暗或黑，伴见身热，口渴或渴不欲饮，心烦、不寐等为特征的证候。\r\n\r\n9.4.', '3.5.4.3.5\r\n    湿热动血证        \r\n    湿温动血证\r\n    因湿热时邪或湿温蕴郁，热不得泄，内迫血分所致。临床以骤然腹痛，便下鲜血，或小便频涩赤痛，舌质红绛，舌苔黄腻，脉濡数，或伴见衄血、吐血等为特征的证候。\r\n\r\n3.5.4.3.6\r\n    湿热瘀滞证       \r\n    因湿热蕴结，瘀滞气血所致。']","血热挟湿证的临床表现包括：

- 斑疹显露，疹色暗红或紫黑
- 或皮肤细疹、瘙痒、滋水
- 舌质红绛
- 舌苔黄腻
- 脉濡数
- 可伴有身热夜甚
- 渴不多饮
- 神识不清
- 头胀
- 身重
- 胸脘痞闷

这些症状共同构成了血热挟湿证的主要特征。",斑疹显露，疹色暗红或紫黑，或皮肤细疹、瘙痒、滋水，舌质红绛，舌苔黄腻，脉濡数，或伴见身热夜甚，渴不多饮，神识不清，头胀，身重，胸脘痞闷等。,,0.5981551231361787,0.99999999995,1.0,
肠道气滞证的临床表现有哪些？,"['5.4.2.2.1\r\n    肠道气滞证        \r\n    因七情郁结，或饮食不当，肠道气机阻滞所致。临床以腹部胀痛或窜痛，随情志变化而加重或减轻，肠鸣矢气，得之则舒，脉弦，或伴见阴囊、睾丸偏坠引痛，腹部扪及包块，时聚时散等为特征的证候。\r\n\r\n5.4.2.2.', '5.4.2.2.1\r\n    肠道气滞证        \r\n    因七情郁结，或饮食不当，肠道气机阻滞所致。临床以腹部胀痛或窜痛，随情志变化而加重或减轻，肠鸣矢气，得之则舒，脉弦，或伴见阴囊、睾丸偏坠引痛，腹部扪及包块，时聚时散等为特征的证候。\r\n\r\n5.4.2.2.2\r\n    大肠寒结证         \r\n    因秉质阳虚，或久病伤及阳气，阴寒浊邪凝结大肠，传导无力所致。', '5.6.3.3.1\r\n    胃肠气滞证          \r\n    气滞胃肠证\r\n    因胃肠气机阻滞所致。临床以脘腹痞胀、胀痛或窜痛，得嗳气、矢气则舒，或虽有便意，努责难下，舌苔白，脉弦等为特征的证候。\r\n\r\n5.6.3.3.2\r\n    胃肠积寒证          \r\n    因饮食偏嗜，寒凉蕴积，伤损胃肠所致。临床以脘腹痞胀，或食后吐泻，由偏食生冷或遇寒凉而作，甚则脘腹冷痛、绞痛，或大便数日不行，腹冷胀痛，舌质淡，舌苔白润，脉沉弦或紧，可伴见面色青白，口淡、不渴，肢冷不温等为特征的证候。', '5.6.3.3.1\r\n    胃肠气滞证          \r\n    气滞胃肠证\r\n    因胃肠气机阻滞所致。临床以脘腹痞胀、胀痛或窜痛，得嗳气、矢气则舒，或虽有便意，努责难下，舌苔白，脉弦等为特征的证候。\r\n\r\n5.6.3.3.2\r\n    胃肠积寒证          \r\n    因饮食偏嗜，寒凉蕴积，伤损胃肠所致。', '3.3.1.2.5\r\n    寒滞肠道证       \r\n    因寒邪偏盛，或阴寒凝聚于肠道所致。临床以大便硬结，排出困难，或夹白冻黏液，腹中冷痛，小便清长，四肢不温，舌质淡，舌苔白，脉沉迟等为特征的证候。\r\n\r\n3.3.1.2.6\r\n    寒滞肝脉证         \r\n    寒滞肝经证\r\n    因寒邪偏盛，直中厥阴，或阴寒凝滞肝脉所致。']","根据提供的上下文信息，肠道气滞证的临床表现包括：

- 腹部胀痛或窜痛，这种疼痛会随着情绪的变化而加重或减轻。
- 肠鸣矢气（放屁），并且在排气后感到舒适。
- 脉象表现为弦脉。
- 可能伴有阴囊、睾丸偏坠引痛。
- 在腹部可以摸到包块，这些包块时有时无。

以上症状是由于七情郁结（情绪压抑）或饮食不当导致肠道内气机运行不畅所引起的。",腹部胀痛或窜痛，随情志变化而加重或减轻，肠鸣矢气，得之则舒，脉弦，或伴见阴囊、睾丸偏坠引痛，腹部扪及包块，时聚时散等。,,0.9676200895334842,,1.0,
血轮热毒证的临床表现有哪些？,"['5.7.1.2.3\r\n    血轮热毒证        \r\n    因心经郁热化毒，循经上攻，蕴结于内眦所致。临床以目内眦附近突然隆起焮红肿块，疼痛拒按，旋即破溃、出脓，舌质红，舌苔黄，脉数，可伴见发热、头痛，烦躁，口干等为特征的证候。\r\n\r\n5.7.1.3.1\r\n    肉轮风热证          \r\n    胞睑风热外袭证\r\n    风热客睑证\r\n    因风热外邪侵袭胞睑所致。', '5.7.1.2.3\r\n    血轮热毒证        \r\n    因心经郁热化毒，循经上攻，蕴结于内眦所致。临床以目内眦附近突然隆起焮红肿块，疼痛拒按，旋即破溃、出脓，舌质红，舌苔黄，脉数，可伴见发热、头痛，烦躁，口干等为特征的证候。\r\n\r\n5.7.1.3.', '5.7.1.2.2\r\n    血轮实热证    -    \r\n    因心火上炎，熏扰目眦所致。临床以目眦红肿疼痛、赤脉粗大，舌质红，舌苔黄，脉数，伴见头痛，心烦，口干，尿黄等为特征的证候。\r\n\r\n5.7.1.2.3\r\n    血轮热毒证        \r\n    因心经郁热化毒，循经上攻，蕴结于内眦所致。临床以目内眦附近突然隆起焮红肿块，疼痛拒按，旋即破溃、出脓，舌质红，舌苔黄，脉数，可伴见发热、头痛，烦躁，口干等为特征的证候。', '5.7.1.1.3\r\n    气轮热毒证    -    \r\n    因火热或疫毒炽盛，灼损气轮脉络所致。临床以白睛焮红、肿胀，或出血，畏光，舌质红或绛，舌苔黄，脉数等为特征的证候。\r\n\r\n5.7.1.1.4\r\n    气轮血瘀证         \r\n    白睛血瘀证\r\n    因外伤或郁热内结，气血瘀阻气轮脉络所致。临床以白睛赤脉紫胀、结节隆起，疼痛拒按，白睛积血，舌质暗，或有瘀点、瘀斑，脉涩等为特征的证候。', '5.7.1.1.3\r\n    气轮热毒证    -    \r\n    因火热或疫毒炽盛，灼损气轮脉络所致。临床以白睛焮红、肿胀，或出血，畏光，舌质红或绛，舌苔黄，脉数等为特征的证候。\r\n\r\n5.7.1.1.4\r\n    气轮血瘀证         \r\n    白睛血瘀证\r\n    因外伤或郁热内结，气血瘀阻气轮脉络所致。']","血轮热毒证的临床表现包括：

- 目内眦附近突然隆起焮红肿块
- 疼痛拒按
- 旋即破溃、出脓
- 舌质红
- 舌苔黄
- 脉数
- 可伴见发热
- 头痛
- 烦躁
- 口干等症状",目内眦附近突然隆起焮红肿块，疼痛拒按，旋即破溃、出脓，舌质红，舌苔黄，脉数，可伴见发热、头痛，烦躁，口干等。,,,0.9999999999666667,1.0,
寒滞肠道证的临床表现有哪些？,"['3.3.1.2.5\r\n    寒滞肠道证       \r\n    因寒邪偏盛，或阴寒凝聚于肠道所致。临床以大便硬结，排出困难，或夹白冻黏液，腹中冷痛，小便清长，四肢不温，舌质淡，舌苔白，脉沉迟等为特征的证候。\r\n\r\n3.3.1.2.6\r\n    寒滞肝脉证         \r\n    寒滞肝经证\r\n    因寒邪偏盛，直中厥阴，或阴寒凝滞肝脉所致。', '1.2.5\r\n    寒滞肠道证       \r\n    因寒邪偏盛，或阴寒凝聚于肠道所致。临床以大便硬结，排出困难，或夹白冻黏液，腹中冷痛，小便清长，四肢不温，舌质淡，舌苔白，脉沉迟等为特征的证候。\r\n\r\n3.3.1.2.6\r\n    寒滞肝脉证         \r\n    寒滞肝经证\r\n    因寒邪偏盛，直中厥阴，或阴寒凝滞肝脉所致。临床以胸胁冷痛如刺，或少腹冷痛，阴器内缩引痛，或巅顶冷痛，或肢端发白，遇寒痛增，得温痛缓，舌苔白，脉弦紧，可伴见呕吐清涎，恶寒，肢冷等为特征的证候。', '3.3.1.2.3\r\n    寒滞胃肠证          \r\n    寒滞肠胃证\r\n    因寒邪偏盛，或阴寒滞着胃肠，阻滞气机所致。临床以脘腹冷痛或绞痛时作，痛则作泻，大便或夹白冻，或如水注，泻后痛减，呕吐，舌质淡或暗，舌苔白，脉弦紧，伴见恶寒，肢冷，喜温等为特征的证候。\r\n\r\n3.3.1.2.4\r\n    脐腹中寒证           \r\n    腹部中寒证\r\n    因寒邪偏盛，直中脐腹，脉络不和所致。', '3.3.1.2.3\r\n    寒滞胃肠证          \r\n    寒滞肠胃证\r\n    因寒邪偏盛，或阴寒滞着胃肠，阻滞气机所致。临床以脘腹冷痛或绞痛时作，痛则作泻，大便或夹白冻，或如水注，泻后痛减，呕吐，舌质淡或暗，舌苔白，脉弦紧，伴见恶寒，肢冷，喜温等为特征的证候。\r\n\r\n3.3.1.2.', '临床以突发肠鸣、腹痛，甚者腹痛如绞，得温则减，遇寒加剧，舌苔白，脉沉紧，或指纹淡，可伴见大便清稀，夹有泡沫，或水泻、呕吐等为特征的证候。\r\n\r\n3.3.1.2.5\r\n    寒滞肠道证       \r\n    因寒邪偏盛，或阴寒凝聚于肠道所致。临床以大便硬结，排出困难，或夹白冻黏液，腹中冷痛，小便清长，四肢不温，舌质淡，舌苔白，脉沉迟等为特征的证候。']","寒滞肠道证的临床表现包括：
- 大便硬结，排出困难
- 或夹白冻黏液
- 腹中冷痛
- 小便清长
- 四肢不温
- 舌质淡
- 舌苔白
- 脉沉迟",大便硬结，排出困难，或夹白冻黏液，腹中冷痛，小便清长，四肢不温，舌质淡，舌苔白，脉沉迟。,,0.569385057170327,,1.0,
该证候的临床表现有哪些？,"['等为特征的证候。\r\n\r\n3.9.6.2.4.2\r\n    痰火闭窍证         \r\n    因痰火互结，闭阻心窍，神识不用所致。临床以突然昏仆，不省人事，鼻鼾、痰鸣，或躁扰发狂，肢体强直、痉挛，舌质红绛或深绛，舌苔黄腻或焦褐，脉沉滑数，可伴见发热，面红、目赤，口干、唇燥，大便秘结等为特征的证候。\r\n\r\n3.9.6.3.', '3.15.4.3\r\n    眼珠破损证     \r\n    因锐利或钝性物体刺击伤，眼珠破损所致。临床以眼球破裂，视力严重减退，眼内出血，甚则失明等为特征的证候。\r\n\r\n3.15.5.1\r\n    外伤耳廓证        \r\n    耳廓外伤证\r\n    因跌打损伤、撕扯切伤，或火器灼伤外耳所致。临床以受伤后耳廓撕裂、血肿，组织缺损，局部剧痛，或有少量血液从耳道流出，或伴见短暂耳闷、耳鸣、耳聋，遗留耳廓畸形等为特征的证候。', '临床以妊娠腰酸、腹痛，胎动下坠，或少量阴道出血，色鲜红，舌质暗，脉滑数等为特征的证候。\r\n\r\n4.1.1.1\r\n    营卫不和证         \r\n    因卫弱营强，腠理不固，或卫强营弱，阳气郁于肌表，内迫营阴所致。临床以发热，或微恶风寒，时有汗出，脉缓等为特征的证候。\r\n\r\n4.1.1.2.1.1\r\n    气机郁滞证      \r\n    因气机郁结，阻滞经络或脏腑官窍所致。', '临床以突感耳内轰鸣，短时耳痛或耳闷，或有出血或流脓，耳鸣、眩晕，听力下降，甚则遗留永久性听力障碍等为特征的证候。\r\n\r\n3.15.6.1\r\n    鼻伤衄血证        \r\n    因鼻部遭受外力伤损所致。临床以鼻部红肿青紫、疼痛，鼻衄不止，脉弦紧或偏数等为特征的证候。\r\n\r\n3.15.6.2\r\n    鼻伤骨折证        \r\n    因鼻部遭受外力，鼻骨骨折所致。', '3.2.3.2.3\r\n    风邪犯鼻证        \r\n    因风邪上扰，鼻窍失和所致。临床以喷嚏频作，迎风或遇异味刺激即作，反复不已，舌苔白，脉浮，或伴见鼻塞、鼻流清涕等为特征的证候。\r\n\r\n3.2.3.2.4\r\n    风邪犯口证        \r\n    风邪犯唇证\r\n    因风邪上扰，邪客口唇脉络，气血失和所致。临床以口唇潮红、麻痒、肿痛或痒痛，或口腔溃疡时作，甚则妨碍进食，舌苔薄白，脉浮，或伴见恶风、发热，随饮食或情绪、月经周期变动而反复等为特征的证候。']","您的问题中没有明确指出是哪个证候的临床表现。根据提供的上下文信息，这里列出了几个不同的证候及其对应的临床表现，请您指定具体是哪一个证候：

1. **痰火闭窍证**：突然昏仆，不省人事，鼻鼾、痰鸣，或躁扰发狂，肢体强直、痉挛，舌质红绛或深绛，舌苔黄腻或焦褐，脉沉滑数，可伴见发热，面红、目赤，口干、唇燥，大便秘结等。

2. **眼珠破损证**：眼球破裂，视力严重减退，眼内出血，甚则失明等。

3. **外伤耳廓证**：受伤后耳廓撕裂、血肿，组织缺损，局部剧痛，或有少量血液从耳道流出，或伴见短暂耳闷、耳鸣、耳聋，遗留耳廓畸形等。

4. **营卫不和证**：发热，或微恶风寒，时有汗出，脉缓等。

5. **气机郁滞证**：未提供具体的临床表现。

6. **（对于耳部损伤）**",胁腹胀满，腹部触及包块，疼痛拒按，或月经量多、色暗、有血块，甚则血崩或淋漓不止，带下色黄、质稠臭秽，或患肢红肿胀痛，触及条索状物，按之疼痛，或溃烂、滋水，舌质红，有瘀点、瘀斑，舌苔黄厚，脉滑数，可伴见寒热往来，热势起伏，头面身黄，大便溏薄或燥结，小便短少等,,0.6676511752437696,,0.0,
火毒内陷证的临床表现有哪些？,"['3.8.7.3.5\r\n    火毒内陷证         \r\n    热毒内陷证\r\n    因火热邪毒炽盛，壅滞肌表，内陷脏腑所致。临床以患处或创面由红肿灼痛转为紫暗或紫黑，肿势虽减，骤然出现高热、肢冷，神昏、谵妄，躁扰、抽搐，便秘、尿黄，舌质红绛，舌苔黄或焦燥，脉沉数等为特征的证候。\r\n\r\n3.8.7.3.5.', '3.8.7.3.4.2\r\n    火毒陷营证          \r\n    热毒陷营证\r\n    因火热邪毒炽盛，或疔疮走散，邪毒内陷营血所致。临床以疮顶黑陷，或疮面紫暗，疮口干枯、无脓，肿势散漫，迅速向四周扩散，舌质红绛，舌体硬，脉沉数或弦滑，可伴见寒战、高热，头痛，口渴，烦躁，黄疸，皮肤发斑，甚则神昏、谵语等为特征的证候。', '3.8.7.3.5.1\r\n    火陷证     \r\n    因火毒炽盛，耗伤阴血，复因挤压疮口，或治疗不当，毒邪内陷营血所致。临床以疮顶不高，根盘散漫，灼热剧痛，疮色紫滞，干枯无脓，舌质红绛，舌苔黄，脉弦数或沉紧，伴见壮热、口渴，烦躁不安，胸胁隐痛，甚则神昏、谵语，痉厥等为特征的证候。\r\n\r\n3.8.', '3.7.3.1.9\r\n    邪热内陷证       \r\n    温邪内陷证\r\n    因温热疫毒等炽盛，内陷心肝所致。临床以壮热不已，躁狂不安，突然神昏、谵语，或痉厥、抽搐，舌质红绛，脉细数，指纹紫滞等为特征的证候。\r\n\r\n3.7.3.1.9.1\r\n    热陷心包证        \r\n    热入心包证\r\n    热闭心包证\r\n    因邪热炽盛，正气不支，内陷心包所致。', '3.8.7.3.3\r\n    火毒内闭证        \r\n    热毒内闭证\r\n    因火热邪毒炽盛，内闭脏腑气机所致。临床以持续高热，体温骤降，身体灼热，四肢厥冷，气粗、口臭，舌质红绛，舌苔黄褐而干，脉弦滑数，伴见神昏、谵妄，躁动，或循衣摸床，撮空理线等为特征的证候。\r\n\r\n3.8.7.3.3.1\r\n    火毒闭肺证        \r\n    热毒闭肺证\r\n    疫毒闭肺证\r\n    因火热疫毒等邪炽盛，内闭肺气所致。']","火毒内陷证的临床表现包括：

- 患处或创面由红肿灼痛转为紫暗或紫黑。
- 肿势虽减，但骤然出现高热、肢冷。
- 神昏、谵妄。
- 躁扰、抽搐。
- 便秘、尿黄。
- 舌质红绛。
- 舌苔黄或焦燥。
- 脉沉数。",患处或创面由红肿灼痛转为紫暗或紫黑，肿势虽减，骤然出现高热、肢冷，神昏、谵妄，躁扰、抽搐，便秘、尿黄，舌质红绛，舌苔黄或焦燥，脉沉数等,,0.968438289519255,0.8333333332916666,1.0,
暑湿困脾证的临床特征有哪些？,[],,脘腹痞闷，不思饮食，口中黏腻，渴不多饮，头晕胀痛，肢体困倦，舌质偏胖，舌苔滑腻或黄，脉濡数或滑数，可伴见潮热，浮肿，便溏，小便短赤等,,0.0,0.0,0.0,
肾虚积冷证的临床表现有哪些？,"['5.5.1.3.6.1\r\n    肾虚积冷证         \r\n    肾脏积冷证\r\n    因肾阳虚，阴寒凝结所致。临床以小腹寒凉，痛掣阴囊或阴户，阴冷，性欲淡漠，或附睾结节，子系粗肿，无触痛感，舌质淡润，或有齿痕，脉沉迟或弦细，伴见腰酸，形寒、肢冷等为特征的证候。\r\n\r\n5.5.1.3.6.2\r\n    肾虚寒凝证        \r\n    因肾阳不足，阴寒凝滞所致。', '5.5.1.3.6.1\r\n    肾虚积冷证         \r\n    肾脏积冷证\r\n    因肾阳虚，阴寒凝结所致。临床以小腹寒凉，痛掣阴囊或阴户，阴冷，性欲淡漠，或附睾结节，子系粗肿，无触痛感，舌质淡润，或有齿痕，脉沉迟或弦细，伴见腰酸，形寒、肢冷等为特征的证候。\r\n\r\n5.5.1.3.6.', '1.3.6.2.1\r\n    肾虚寒湿证    -    \r\n    肾经寒湿证\r\n    因肾经阳气亏虚，寒湿浸渍所致。临床以腰膝沉重、冷痛，活动受限，舌苔白滑，脉濡缓或迟，伴见形寒、畏冷，四肢不温，骨节痹痛等为特征的证候。\r\n\r\n5.5.1.3.6.2.2\r\n    肾虚寒痰证        \r\n    因肾阳不足，寒痰凝滞所致。临床以局部触及大小不等的柔韧肿块，推之可移，不红不痛，或溃后流脓、气腥，或咳喘、气急，痰白清稀，舌苔白腻，脉沉迟或弦滑，可伴见阴茎、阴囊或阴户内缩，腰膝冷痛，形寒、畏冷，四肢不温等为特征的证候。', '5.5.1.3.6.2\r\n    肾虚寒凝证        \r\n    因肾阳不足，阴寒凝滞所致。临床以小腹寒凉，时常隐痛，阴茎、阴囊内缩，腰膝冷痛，屈伸不利，或阴户内缩，舌质淡润，舌苔白，脉沉迟无力，伴见形寒、畏冷，小便清长，夜尿频多等为特征的证候。\r\n\r\n5.5.1.3.6.2.1\r\n    肾虚寒湿证    -    \r\n    肾经寒湿证\r\n    因肾经阳气亏虚，寒湿浸渍所致。', '5.5.1.3.6.2\r\n    肾虚寒凝证        \r\n    因肾阳不足，阴寒凝滞所致。临床以小腹寒凉，时常隐痛，阴茎、阴囊内缩，腰膝冷痛，屈伸不利，或阴户内缩，舌质淡润，舌苔白，脉沉迟无力，伴见形寒、畏冷，小便清长，夜尿频多等为特征的证候。\r\n\r\n5.5.1.3.6.2.']","肾虚积冷证的临床表现包括：

- 小腹寒凉
- 痛掣阴囊或阴户
- 阴冷
- 性欲淡漠
- 附睾结节（可能）
- 子系粗肿，但无触痛感
- 舌质淡润，或有齿痕
- 脉沉迟或弦细
- 伴见腰酸
- 形寒、肢冷

这些症状反映了因肾阳虚导致的阴寒凝结状态。",小腹寒凉，痛掣阴囊或阴户，阴冷，性欲淡漠，或附睾结节，子系粗肿，无触痛感，舌质淡润，或有齿痕，脉沉迟或弦细，伴见腰酸，形寒、肢冷等。,,,0.9166666666361111,1.0,
饮邪上犯证的临床表现有哪些？,"['3.9.2.2.2\r\n    饮邪上犯证        \r\n    因肝胃虚寒，寒饮中阻，肝气挟饮邪上逆所致。临床以头痛如裂，眼珠胀痛，呕哕涎沫，食少、神疲，甚或瞳色淡绿，瞳散、视昏，眼压升高，舌质淡，舌苔白润，脉沉弦等为特征的证候。\r\n\r\n3.9.2.2.3\r\n    饮溢四肢证         \r\n    因水饮泛溢于体表肌腠所致。', '3.9.2.2.3\r\n    饮溢四肢证         \r\n    因水饮泛溢于体表肌腠所致。临床以颜面、四肢浮肿，不汗出，骨节烦疼，肌肉重滞，舌质淡，舌苔滑或腻，脉浮弦或滑，或伴见发热、恶寒，胸闷，乏力等为特征的证候。\r\n\r\n3.9.2.2.4\r\n    饮邪客肺证        \r\n    饮邪犯肺证\r\n    饮邪停肺证\r\n    饮停于肺证\r\n    因水饮内停，上迫于肺，肺失宣降所致。', '11.6\r\n    邪犯肝脾证        \r\n    因外邪侵袭，邪客肝脾，或七情、饮食所伤，肝脾不和，气血失调所致。临床以突发黄疸、胁痛，不欲饮食，厌恶油腻，或肠鸣、腹痛作泻，呕吐，舌苔白或黄腻，脉弦数或弦滑，或伴见便血，衄血、紫癜，崩漏等为特征的证候。\r\n\r\n3.1.2.11.8\r\n    邪陷心包证         \r\n    邪入心包证\r\n    因风温、暑热等邪热炽盛，内陷心包，蒙闭心神所致。', '3.1.2.6\r\n    邪在气营证           \r\n    邪入气营证\r\n    因温邪疫毒等邪伏营分，由气分透出，或邪毒同时侵犯气分和营分所致。临床以壮热或持续高热，汗出不减，口渴，心烦，躁扰不宁，甚则神昏、谵语，斑疹隐隐，舌质红或绛，脉洪数或细数等为特征的证候。\r\n\r\n3.1.2.7\r\n    邪在营分证         \r\n    邪入营分证\r\n    因温热疫毒等邪内陷营分，或邪毒直接入营，灼损营阴，扰动心神所致。', '3.1.2.5\r\n    邪在气分证         \r\n    邪入气分证\r\n    因温热或湿热等邪侵犯气分所致。临床以壮热、汗出，或身热不扬，烦渴，小便短赤，舌质红，舌苔黄，脉洪大或数，或伴见咳喘痰黄，腹痛便秘，泻痢赤白等为特征的证候。\r\n\r\n3.1.2.6\r\n    邪在气营证           \r\n    邪入气营证\r\n    因温邪疫毒等邪伏营分，由气分透出，或邪毒同时侵犯气分和营分所致。']","饮邪上犯证的临床表现包括：
- 头痛如裂
- 眼珠胀痛
- 呕哕涎沫
- 食少
- 神疲
- 甚或瞳色淡绿
- 瞳散
- 视昏
- 眼压升高
- 舌质淡
- 舌苔白润
- 脉沉弦",饮邪上犯证的临床表现为头痛如裂，眼珠胀痛，呕哕涎沫，食少、神疲，甚或瞳色淡绿，瞳散、视昏，眼压升高，舌质淡，舌苔白润，脉沉弦。,1.0,,0.9999999999,1.0,
该证候的临床表现有哪些？,"['等为特征的证候。\r\n\r\n3.9.6.2.4.2\r\n    痰火闭窍证         \r\n    因痰火互结，闭阻心窍，神识不用所致。临床以突然昏仆，不省人事，鼻鼾、痰鸣，或躁扰发狂，肢体强直、痉挛，舌质红绛或深绛，舌苔黄腻或焦褐，脉沉滑数，可伴见发热，面红、目赤，口干、唇燥，大便秘结等为特征的证候。\r\n\r\n3.9.6.3.', '3.15.4.3\r\n    眼珠破损证     \r\n    因锐利或钝性物体刺击伤，眼珠破损所致。临床以眼球破裂，视力严重减退，眼内出血，甚则失明等为特征的证候。\r\n\r\n3.15.5.1\r\n    外伤耳廓证        \r\n    耳廓外伤证\r\n    因跌打损伤、撕扯切伤，或火器灼伤外耳所致。临床以受伤后耳廓撕裂、血肿，组织缺损，局部剧痛，或有少量血液从耳道流出，或伴见短暂耳闷、耳鸣、耳聋，遗留耳廓畸形等为特征的证候。', '临床以妊娠腰酸、腹痛，胎动下坠，或少量阴道出血，色鲜红，舌质暗，脉滑数等为特征的证候。\r\n\r\n4.1.1.1\r\n    营卫不和证         \r\n    因卫弱营强，腠理不固，或卫强营弱，阳气郁于肌表，内迫营阴所致。临床以发热，或微恶风寒，时有汗出，脉缓等为特征的证候。\r\n\r\n4.1.1.2.1.1\r\n    气机郁滞证      \r\n    因气机郁结，阻滞经络或脏腑官窍所致。', '临床以突感耳内轰鸣，短时耳痛或耳闷，或有出血或流脓，耳鸣、眩晕，听力下降，甚则遗留永久性听力障碍等为特征的证候。\r\n\r\n3.15.6.1\r\n    鼻伤衄血证        \r\n    因鼻部遭受外力伤损所致。临床以鼻部红肿青紫、疼痛，鼻衄不止，脉弦紧或偏数等为特征的证候。\r\n\r\n3.15.6.2\r\n    鼻伤骨折证        \r\n    因鼻部遭受外力，鼻骨骨折所致。', '3.2.3.2.3\r\n    风邪犯鼻证        \r\n    因风邪上扰，鼻窍失和所致。临床以喷嚏频作，迎风或遇异味刺激即作，反复不已，舌苔白，脉浮，或伴见鼻塞、鼻流清涕等为特征的证候。\r\n\r\n3.2.3.2.4\r\n    风邪犯口证        \r\n    风邪犯唇证\r\n    因风邪上扰，邪客口唇脉络，气血失和所致。临床以口唇潮红、麻痒、肿痛或痒痛，或口腔溃疡时作，甚则妨碍进食，舌苔薄白，脉浮，或伴见恶风、发热，随饮食或情绪、月经周期变动而反复等为特征的证候。']","您的问题中没有明确指出是哪个证候的临床表现。根据您提供的上下文信息，这里列出了几个不同的证候及其对应的临床表现，请您指定具体是哪一个证候：

1. **痰火闭窍证**：突然昏仆，不省人事，鼻鼾、痰鸣，或躁扰发狂，肢体强直、痉挛，舌质红绛或深绛，舌苔黄腻或焦褐，脉沉滑数，可伴见发热，面红、目赤，口干、唇燥，大便秘结等。
2. **眼珠破损证**：眼球破裂，视力严重减退，眼内出血，甚则失明等。
3. **外伤耳廓证**：受伤后耳廓撕裂、血肿，组织缺损，局部剧痛，或有少量血液从耳道流出，或伴见短暂耳闷、耳鸣、耳聋，遗留耳廓畸形等。
4. **营卫不和证**：发热，或微恶风寒，时有汗出，脉缓等。
5. **气机郁滞证**：未详细列出具体的临床表现。
6. **（对于耳部损伤",身热不扬，咽喉肿痛，吞咽不下，或身目发黄，大便赤白利下，里急后重，小便涩痛，舌质红绛或起刺，舌苔粉白或黄腻，脉滑数或濡数，可伴见脘腹胀满，渴不欲饮，甚则神昏，斑疹等。,,,0.0,0.0,
